Movie,Year,Production_Countries
Skyfall,2012,United States of America
The Dark Knight Rises,2012,United Kingdom
The Dark Knight Rises,2012,United States of America
The Hobbit: An Unexpected Journey,2012,New Zealand
The Hobbit: An Unexpected Journey,2012,United States of America
Ice Age: Continental Drift,2012,United States of America
The Twilight Saga: Breaking Dawn - Part 2,2012,United States of America
The Amazing Spider-Man,2012,United States of America
Madagascar 3: Europe's Most Wanted,2012,United States of America
The Hunger Games,2012,United States of America
Men in Black³,2012,United States of America
Frozen,2013,United States of America
Iron Man 3,2013,United States of America
Despicable Me 2,2013,United States of America
The Hobbit: The Desolation of Smaug,2013,New Zealand
The Hobbit: The Desolation of Smaug,2013,United States of America
The Hunger Games: Catching Fire,2013,United States of America
Fast & Furious 6,2013,United States of America
Monsters University,2013,United States of America
Gravity,2013,United Kingdom
Gravity,2013,United States of America
Man of Steel,2013,United Kingdom
Man of Steel,2013,United States of America
Thor: The Dark World,2013,United States of America
Transformers: Age of Extinction,2014,United States of America
The Hobbit: The Battle of the Five Armies,2014,New Zealand
The Hobbit: The Battle of the Five Armies,2014,United States of America
Guardians of the Galaxy,2014,United States of America
Maleficent,2014,United States of America
The Hunger Games: Mockingjay - Part 1,2014,United States of America
X-Men: Days of Future Past,2014,United States of America
Captain America: The Winter Soldier,2014,United States of America
Dawn of the Planet of the Apes,2014,United Kingdom
Dawn of the Planet of the Apes,2014,United States of America
The Amazing Spider-Man 2,2014,United States of America
Interstellar,2014,United Kingdom
Interstellar,2014,United States of America
Star Wars: Episode VII - The Force Awakens,2015,United States of America
Jurassic World,2015,United States of America
Furious 7,2015,United States of America
Avengers: Age of Ultron,2015,United States of America
Minions,2015,United States of America
Spectre,2015,United Kingdom
Spectre,2015,United States of America
Inside Out,2015,United States of America
Mission: Impossible - Rogue Nation,2015,United States of America
The Hunger Games: Mockingjay - Part 2,2015,Germany
The Hunger Games: Mockingjay - Part 2,2015,United States of America
The Martian,2015,United States of America
Captain America: Civil War,2016,United States of America
Rogue One: A Star Wars Story,2016,United States of America
Finding Dory,2016,United States of America
Zootopia,2016,United States of America
The Jungle Book,2016,United Kingdom
The Jungle Book,2016,United States of America
The Secret Life of Pets,2016,United States of America
Batman v Superman: Dawn of Justice,2016,United States of America
Fantastic Beasts and Where to Find Them,2016,United Kingdom
Fantastic Beasts and Where to Find Them,2016,United States of America
Deadpool,2016,United States of America
Suicide Squad,2016,United States of America
Star Wars: Episode VIII - The Last Jedi,2017,United States of America
Beauty and the Beast,2017,United States of America
The Fate of the Furious,2017,United States of America
Despicable Me 3,2017,United States of America
Jumanji: Welcome to the Jungle,2017,United States of America
Spider-Man: Homecoming,2017,United States of America
Wolf Warrior 2,2017,China
Guardians of the Galaxy Vol. 2,2017,United States of America
Thor: Ragnarok,2017,United States of America
